_id,neighborhood_municipality,bivalent_booster
21126,Highland Park (Pittsburgh),2307
21127,Emsworth,440
21128,South Park,2731
21129,Monroeville,6511
21130,Southside Flats (Pittsburgh),1251
21131,Pennsbury Village,133
21132,Turtle Creek,649
21133,Braddock,193
21134,Overbrook (Pittsburgh),558
21135,Hays (Pittsburgh),46
21136,Knoxville (Pittsburgh),354
